x,y,z,type
-510.78370682183976,-181.47827163550818,0.0,tcells
-72.79930667326977,-442.0700755230903,0.0,tcells
-496.3724155008047,345.3509966571746,0.0,tcells
-429.66447938591057,-320.39123436919647,0.0,tcells
-414.36176798316205,51.479509718955114,0.0,tcells
-458.48706202798064,4.6799554289959815,0.0,tcells
-104.74185960133713,378.9278197350501,0.0,tcells
-171.44979571623128,-334.2082456357559,0.0,tcells
-465.17271264083195,-351.59093722916924,0.0,tcells
-494.5895753373777,66.48508109446573,0.0,tcells
248.85477281168755,-594.9486195369568,0.0,tcells
-100.58189922000741,-271.8088399158103,0.0,tcells
-82.30778754488051,-333.7625355948991,0.0,tcells
-567.2403119970286,282.95159093722907,0.0,tcells
26.148322396929643,-580.8344682431596,0.0,tcells
-566.7946019561718,220.9978952581405,0.0,tcells
-441.550080475424,128.73591680079244,0.0,tcells
-528.7606784697289,-150.72427881639226,0.0,tcells
-223.4493004828525,-551.5661755602328,0.0,tcells
-287.48297635260616,-288.59725145474806,0.0,tcells
-343.6424415005571,144.93004828525443,0.0,tcells
-331.3111303701869,-397.35050142379595,0.0,tcells
-90.62770830753993,-442.2186455367092,0.0,tcells
-421.04741859601336,-273.8888201064752,0.0,tcells
-558.0289711526557,236.44917667450784,0.0,tcells
-423.27596880029705,66.93079113532247,0.0,tcells
-109.19896000990468,-318.31125417853167,0.0,tcells
230.72923115017954,-564.0460567042219,0.0,tcells
-82.15921753126162,-364.665098427634,0.0,tcells
-352.70521233131115,160.3813297016219,0.0,tcells
-188.3867772687879,-458.26420700755233,0.0,tcells
-299.22000742850065,160.67846972885968,0.0,tcells
-215.42651974743097,-412.05893277206883,0.0,tcells
257.6204036152036,-579.3487681069704,0.0,tcells
-468.14411291321034,113.13606537080602,0.0,tcells
-539.160579423053,81.63922248359529,0.0,tcells
-233.25492138170108,-412.2075027856878,0.0,tcells
-541.9834096818125,515.4636622508356,0.0,tcells
-487.3096446700507,329.89971524080727,0.0,tcells
-549.1147703355206,252.04902810449425,0.0,tcells
-358.35087284882997,-350.9966571746936,0.0,tcells
79.48495728612102,-580.5373282159218,0.0,tcells
-18.27411167512696,-596.7314597003838,0.0,tcells
-91.37055837563452,-318.31125417853167,0.0,tcells
-91.9648384301102,-225.30642565308904,0.0,tcells
-64.4793859106104,-333.6139655812802,0.0,tcells
-379.2992447690974,144.63290825801653,0.0,tcells
-523.1150179522099,360.65370805992325,0.0,tcells
417.48173826915934,-516.3550823325493,0.0,tcells
-557.1375510709421,112.54178531633033,0.0,tcells
-485.82394453386155,82.08493252445214,0.0,tcells
-503.50377615451276,81.93636251083319,0.0,tcells
-475.7211836077751,-88.32487309644671,0.0,tcells
-551.1947505261854,561.966076513557,0.0,tcells
-152.1356939457719,-551.120465519376,0.0,tcells
-206.36374891667697,-427.5102141884363,0.0,tcells
-73.98786678222109,-256.20898848582397,0.0,tcells
-179.7697164788907,-411.76179274483104,0.0,tcells
-162.23845487185832,-380.71065989847716,0.0,tcells
-206.21517890305802,-458.4127770211712,0.0,tcells
-493.10387520118854,-150.42713878915436,0.0,tcells
52.44521480747801,-534.1834839668194,0.0,tcells
-251.0833230159713,-412.2075027856878,0.0,tcells
-557.7318311254178,205.5466138417729,0.0,tcells
-548.3719202674259,128.14163674631675,0.0,tcells
-513.6065370805992,252.34616813173204,0.0,tcells
-548.5204902810449,159.04419957905168,0.0,tcells
-82.75349758573725,-271.6602699021914,0.0,tcells
-202.05521852172836,269.7288597251455,0.0,tcells
141.88436300606656,-595.6914696050513,0.0,tcells
-532.9206388510586,500.01238083446833,0.0,tcells
-567.3888820106474,313.8541537699641,0.0,tcells
-71.90788659155623,-565.9774668812678,0.0,tcells
-532.7720688374396,469.1098180017334,0.0,tcells
-477.20688374396434,128.5873467871735,0.0,tcells
-8.17135074904047,580.9830382567786,0.0,tcells
-465.3212826544509,-320.6883743964343,0.0,tcells
8.022780735421634,-550.0804754240436,0.0,tcells
-54.07948495728613,-565.9774668812678,0.0,tcells
-224.19215055094708,-427.5102141884363,0.0,tcells
-494.14386529652097,4.531385415377031,0.0,tcells
-370.53361396558125,160.23275968800294,0.0,tcells
-522.966447938591,329.7511452271883,0.0,tcells
-558.1775411662745,267.5003095208617,0.0,tcells
-529.3549585242044,-57.71945029094968,0.0,tcells
-127.62164169865054,-225.45499566670793,0.0,tcells
-135.64442243407206,-364.9622384548719,0.0,tcells
-518.5093475300234,-352.03664727002604,0.0,tcells
-466.80698279064006,-103.77615451281417,0.0,tcells
-402.4761668936486,-397.79621146465274,0.0,tcells
-524.0064380339235,484.56109941810064,0.0,tcells
-528.314968428872,-212.67797449548095,0.0,tcells
-108.15896991457225,-473.269778383063,0.0,tcells
96.86764887953439,-518.435062523214,0.0,tcells
-559.3661012752259,453.36139655812804,0.0,tcells
-161.34703479014485,-504.6180512566547,0.0,tcells
-530.3949486195369,97.2390739135817,0.0,tcells
-412.13321777887825,-289.34010152284264,0.0,tcells
-98.7990590565804,-550.6747554785193,0.0,tcells
257.3232635879658,-548.4462052742355,0.0,tcells
-197.5981181131608,-411.9103627584499,0.0,tcells
-447.93859106103747,-258.5861087037266,0.0,tcells
-440.9558004209483,35.8796582889687,0.0,tcells
-228.6492509595147,254.1290082951591,0.0,tcells
-241.5748421443605,-489.612479881144,0.0,tcells
-542.4291197226693,577.4173579299245,0.0,tcells
-62.99368577442118,-581.4287482976353,0.0,tcells
-107.71325987371551,-535.2234740621518,0.0,tcells
444.6700507614213,-593.6114894143865,0.0,tcells
-438.5786802030457,-335.9910857991829,0.0,tcells
-502.7609260864182,-41.971028847344314,0.0,tcells
-449.7214312244645,20.279806858982283,0.0,tcells
-558.3261111798935,298.40287235359665,0.0,tcells
-376.4764145103379,-289.0429614956048,0.0,tcells
-566.2003219016962,127.9930667326978,0.0,tcells
-361.4708431348273,144.7814782716356,0.0,tcells
-506.1780363996533,484.7096694317197,0.0,tcells
-0.4457100408567385,-596.5828896867649,0.0,tcells
-438.87582023028347,-274.0373901200941,0.0,tcells
-541.8348396681936,484.56109941810064,0.0,tcells
-99.98761916553173,-364.81366844125296,0.0,tcells
-531.5835087284883,283.10016095084814,0.0,tcells
266.5346044323387,-594.8000495233379,0.0,tcells
-153.17568404110438,-396.1619413148446,0.0,tcells
-533.5149189055342,593.0172093599108,0.0,tcells
-376.3278444967191,-320.0940943419587,0.0,tcells
168.329825430234,-549.0404853287112,0.0,tcells
-367.5622136932029,-304.49424291197226,0.0,tcells
-492.3610251330939,-274.334530147332,0.0,tcells
213.1979695431471,-595.0971895505758,0.0,tcells
-179.4725764516528,-473.7154884239198,0.0,tcells
221.51789030580665,-517.6922124551195,0.0,tcells
-484.9325244521481,-41.971028847344314,0.0,tcells
-54.673765011761816,-472.9726383558252,0.0,tcells
43.8281540175808,-580.8344682431596,0.0,tcells
355.0823325492138,-501.3495109570385,0.0,tcells
-108.60467995542899,-411.31608270397425,0.0,tcells
-144.5586232512071,-349.6595270521233,0.0,tcells
-269.06029466386036,-381.45350996657174,0.0,tcells
346.4652717593166,-547.8519252197598,0.0,tcells
70.71932648260497,-596.1371796459082,0.0,tcells
-467.54983285873465,20.131236845363446,0.0,tcells
-556.2461309892286,-42.41673888820105,0.0,tcells
-485.5268045066237,51.033799678098376,0.0,tcells
-476.90974371672644,97.53621394081961,0.0,tcells
-420.8988485823944,-304.939952952829,0.0,tcells
-519.9950476662127,-135.12442738640584,0.0,tcells
-331.45970038380585,-366.2993685774421,0.0,tcells
-511.8236969171722,-26.6683174445958,0.0,tcells
-96.12479881143986,425.43023399777144,0.0,tcells
-210.82084932524447,254.27757830877806,0.0,tcells
-118.11316082703974,-303.0085427757831,0.0,tcells
-179.02686641079612,-535.6691841030085,0.0,tcells
-448.08716107465636,-227.53497585737279,0.0,tcells
-411.24179769716477,-413.2474928810202,0.0,tcells
-313.4827287359168,-397.20193141017705,0.0,tcells
-510.18942676736407,-274.4831001609508,0.0,tcells
-475.1269035532995,-181.32970162188934,0.0,tcells
-108.0103999009533,-504.3209112294169,0.0,tcells
319.2769592670546,-470.5955181379225,0.0,tcells
-10.102760926086376,-488.1267797449548,0.0,tcells
-98.9476290701993,-519.7721926457843,0.0,tcells
-98.50191902934256,-581.725888324873,0.0,tcells
-488.4982047790021,515.7608022780735,0.0,tcells
-322.39692955305185,-381.7506499938096,0.0,tcells
-514.2008171350749,345.2024266435558,0.0,tcells
-465.91556270892653,-227.68354587099174,0.0,tcells
408.7161074656432,-531.9549337625356,0.0,tcells
-449.87000123808343,51.33093970533605,0.0,tcells
-169.81552556642316,-582.1715983657299,0.0,tcells
-83.347777640213,-178.8040113903677,0.0,tcells
-259.7003838058685,-458.85848706202796,0.0,tcells
-54.525194998142865,-503.87520118856014,0.0,tcells
-551.3433205398044,592.868639346292,0.0,tcells
-82.9020675993562,-240.7577070694565,0.0,tcells
-201.75807849449052,238.82629689241048,0.0,tcells
-510.93227683545865,-150.5757088027733,0.0,tcells
-63.58796582889687,-488.57248978581157,0.0,tcells
-385.09347530023524,-335.69394577194504,0.0,tcells
-521.6293178160207,112.83892534356812,0.0,tcells
-263.86034418719817,191.8781725888325,0.0,tcells
-192.99244769097436,254.27757830877806,0.0,tcells
-520.2921876934505,-73.17073170731703,0.0,tcells
-500.6809458957533,-351.8880772564071,0.0,tcells
-89.73628822582646,-566.1260368948867,0.0,tcells
-214.83223969295528,-504.91519128389257,0.0,tcells
-557.43469109818,143.5929181626841,0.0,tcells
-72.50216664603198,-473.1212083694441,0.0,tcells
-99.3933391110561,-457.81849696669553,0.0,tcells
426.5445090999133,-531.8063637489167,0.0,tcells
195.369567908877,-595.2457595641946,0.0,tcells
-466.95555280425896,-72.7250216664603,0.0,tcells
-83.19920762659405,-209.70657422310268,0.0,tcells
400.09904667574597,-578.4573480252569,0.0,tcells
16.936981552556745,-534.4806239940572,0.0,tcells
-91.81626841649125,-256.20898848582397,0.0,tcells
-148.8671536461557,301.0771325987372,0.0,tcells
-456.70422186455363,-274.185960133713,0.0,tcells
34.31967314597,-472.3783583013495,0.0,tcells
-503.35520614089387,50.88522966447931,0.0,tcells
25.70261235607279,-518.8807725640709,0.0,tcells
